발화문,상황
나 일식을 좋아해. 근데 내 친구는 양식 쪽인 거 같기도 해. 둘 다 알려줄래?,neutral
맛도 있는데 에피타이저도 많이 주면 정말 금상첨화지. 좋은 집으로 부탁해.,neutral
알았어. 정말 고마워. 내일 친구랑 맛있게 먹고 올게.,neutral
아니 요즘은 다 왜 이러는 거지? 난 정말 이해가 안 가.,angry
"내가 좋아하는 유튜버가 좋은 제품이라고 소개하는데, 알고 봤더니 그게 돈 받고 하는 광고였대.",angry
더 실망스러운 건 우리가 증거를 들이대기까지 사과를 안하는 거야. 그런데 나중에 끝내 사과하더라고.,angry
마지못해 하는 사과라서 진정성이라고는 털끝만큼도 없었어.,angry
이 더러운 기분을 없앨 수 있는 영상은 아무거나 다 추천해줘.,angry
나 아무래도 혼자 갇힌 것 같아.,fear
자고 일어났더니 우리 동네가 다 물바다야.,fear
내가 자느라고 재난문자랑 대피전화를 받지를 못했어. 그래서 나만 혼자 갇혀있는 거야.,fear
어. 우리집 주변이 다 물바다야. 밖으로 나갈 수가 없어.,fear
집안까지 물은 들어오지 않았지만 나갈 수 있는 통로가 다 막혀버렸어. 그리고 난 괜찮아. 기분이 조금 우울하긴 하지만.,fear
내 휴가가 엉망진창이 되었어.,angry
정말 오랜만에 휴가를 냈더니 하필 장마철이랑 겹쳤대. 하루종일 비가 오고 있어.,angry
여름휴가라서 바다에 가려고 했었지. 다 엉망진창이 돼버렸어.,angry
회사가 바빠서 정말 1년만에 눈치보면서 낸거야.,angry
이번년도는 휴가는 포기해야 되겠지? 그럼 영화나 게임을 좀 추천해줄래?,angry
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
맞아. 우리집은 딱히 환기가 될만한 창문이란 게 없어. 그러니 더 심한 것 같애.,angry
맞아. 곰팡이 땜에 계속 락스로 청소했더니 머리가 너무 아파.,angry
지금 당장에 구매할게. 추천 좀 해줘.,angry
지금 당장 구매할게. 좋은 제품으로 추천 좀 해줘.,angry
으 쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust
내가 음식물 쓰레기를 쓰레기통에 버려버렸어.,disgust
바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,disgust
방향제 냄새랑 음식물 쓰레기 냄새랑 섞여서 더 이상할까봐서 못하겠어.,disgust
내일 친구를 만나기로 했는데 뭘 먹어야할지 모르겠어.,neutral
내일 강남역에서 친구를 만나기로 했는데 아직도 뭘 먹어야 할지 못 정했어.,neutral
강남역에 맛집이 너무 많아서 고르기가 힘들더라구. 나는 양식을 좋아하니까 친구랑 양식을 먹고 싶어.,neutral
에피타이저부터 푸짐하게 주는 집이 있다니까 너무 기대가 돼.,neutral
평점과 리뷰가 좋은 것을 추천해줘서 너무 고마워. 친구랑 가서 맛있게 먹고 올게.,neutral
내 휴가가 엉망이야.,angry
오늘부터 일주일동안 휴간데 휴가기간 내내 비가 온대. 너무 짜증나.,angry
오랜만에 가족들이랑 동해바다에 가서 실컷 놀고 오기로 했어. 그런데 비가 와서 망했어.,angry
프로젝트가 너무 바빠서 일년만에 받은 휴가인데 비가 와서 아무데도 갈 수가 없어. 너무 속상해.,angry
휴가 기간 내내 비소식이 있어서 여행을 가는 건 포기할 것 같아. 너의 말대로 쉬면서 집에서 휴가를 즐길 수 있는 방법을 찾아봐야 할 것 같아.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
쓰레기통에서 이상한 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물쓰레기가 썩어서 나는 냄새였어.,disgust
쓰레기통에서 나는 냄새가 너무 고약하고 날파리가 생겨서 지금 당장 음식물쓰레기랑 같이 쓰레기를 버려야 될 거 같아.,disgust
냄새가 너무 고약해서 방향제로 처리할 수 있을지 모르겠어.,disgust
치우는게 너무 힘들지만 내가 음식물쓰레기를 쓰레기통에다 버린게 잘못이니까 얼른 냄새안나게 치워야지.,disgust
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
요새 환기를 자주 시켜주는데도 화장실에 곰팡이가 계속 생기고 있어서 신경쓰여.,angry
곰팡이 제거제가 화장실에 곰팡이를 없애는데 많은 효과가 있대?,angry
그래? 곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나도 한번 구매해볼래. 효과 좋은 걸로 한번 추천해줘.,angry
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들에게 사과하는 영상을 올렸어.,angry
지금 너무나 화가 났는데 마음을 진정시킬 수 있는 영상이 있으면 하나만 추천해줘.,angry
나 혼자 갇히게 된 거 같아.,fear
내가 잠을 자고 있는 동안에 비가 너무나 많이 와서 우리 동네가 홍수 피해지역이 됐대. 나 고립 된 거 같아.,fear
아직까지는 집 안에 물이 들어오지 않았어. 하지만 언제 물이 들어올까봐 너무 무섭고 걱정돼.,fear
"아직까지는 물이 집 안으로 들어오지 않았는데, 물이 조만간 들어올까봐 너무 걱정 돼.",fear
내 휴가가 엉망이 되었어.,angry
여름 휴가 하면 여름 바다잖아. 바다 가고 싶었어.,angry
정말 바빠서 일년 만에 휴가를 낸 거였거든. 운이 너무 안좋아.,angry
그냥 하늘만 원망하고 지내기보단 영화나 게임 그런걸 하고 보내는게 더 나을 것 같긴 해.,angry
화장실은 자주 청소를 해도 곰팡이가 사라지질 않아.,angry
환기도 많이 시키고 청소도 자주 하는데 너무 오래된 집이라 곰팡이가 안 없어져.,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
그러니까. 얼른 쓰레기 봉지에 담아서 버려야 되겠어. 냄새가 너무 심해! 벌레도 생기는 것 같아.,disgust
깨끗이 닦고 환기시켜 말리고 해서 어쩔 수 없이 청소를 해야지.,disgust
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
"곰팡이 제거제라는 것도 있었어? 아, 진작에 알았으면 계속 그걸 썼지.",angry
당연히 그런게 있었으면 써야지. 구매할게.,angry
내가 음식물 쓰레기를 그곳에 버려버렸어.,disgust
바로 묶어서 버렸는데 냄새는 없어지지를 않아.,disgust
내가 잘못 했으니 내가 다 치워야지 뭐.,disgust
"아니, 요즘 다 왜 그러는 거야? 정말 이해가 안 돼.",angry
내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올린거야.,angry
지금은 너무 화가 나서 아무런 영상도 보고싶지 않아.,angry
내일 친구를 만나는데 뭘 먹어야 될 지 모르겠어.,neutral
난 아무거나 다 잘 먹어. 좋은 집으로 소개 좀 해줘.,neutral
애피타이저가 많이 나오면 더 좋지. 그런 집으로 소개시켜줘.,neutral
고마워. 너무 기대가 돼. 친구랑 의논해서 맛있게 먹고 올게.,neutral
아 요즘은 다들 왜 그러는거지? 이해가 안가.,angry
내가 좋아하는 유튜버가 소개하는 제품이 있길래 사봤지. 그런데 그게 돈 받고 하는 광고였대.,angry
더 실망스러운 건 우리한테 사과를 안 해서 우리가 강제로 사과를 시킨 거야.,angry
스트레스를 싹 날려버릴만한 영상으로 부탁해.,angry
나 아무래도 갇힌 것 같애.,fear
내 휴가가 엉망진창이 되었어.,angry
화장실은 청소를 해도 곰팡이가 사라지질 않아.,angry
곰팡이 제거제 생각을 못해봤어. 알았으면 진작에 샀을텐데.,angry
내가 음식물 쓰레기를 쓰레기통에다가 버렸었거든.,disgust
내가 잘못해서 벌어진 일인데 뭐. 다 자업자득이야.,disgust
하필 음식점이 많기로 소문난 강남역이야.,neutral
아니 요즘 다 왜 이러는 거야? 난 정말 이해가 안 가.,angry
사람한테 속은 느낌인 이 기분을 싹 사라지게 해줄 만한 영상이 있어?,angry
친구가 양식을 좋아하니까 양식을 먹는게 좋을 것 같아.,neutral
방 안에 고약한 냄새가 가득하고 날파리가 생겨서 얼른 쓰레기를 묶어서 버려야해.,disgust
매일 환기를 시키고 청소를 하는데 왜 곰팡이가 안 없어지지?,angry
"아니, 요즘은 다 왜 이러는 거야? 이해가 안 돼!",angry
너무 화가 나고 짜증이 나서 아무 영상도 보고 싶지 않아.,angry
나 갇히게 된 거 같아!,fear
나 혼자 집에 갇힌 것 같아. 너무 무서워.,fear
내일 친구를 만나는데 뭘 먹을지 모르겠어.,neutral
나는 일식이 좋아. 그 친구도 아마 일식을 좋아할 거야.,neutral
"아니, 요즘 왜 그러는거지? 다들 이해가 안돼.",angry
유튜버들이 가짜가 많아. 허위 광고도 많고 짜증이 나. 도대체 뭘 믿으라는 건지.,angry
사과 하는 것도 진실성이 없어보여. 다 그냥 눈 감고 아웅 하듯이 그냥 넘어갈려고만 하는 것 같아.,angry
집에서 자고 일어났는데 바깥이 물난리야! 물이 엄청 많이 차올랐어!,fear
나갈 수가 없어. 바깥에 물이 잔뜩 고여 있어. 차들도 물에 잠겨있는 거 같아. 둥둥 떠 있어.,fear
내 휴가가 엉망이야.,angry
환기를 시켜도 잘 없어지지가 않아. 청소를 내가 얼마나 열심히 했는데.,angry
그래. 내가 사서 써 본 거랑은 다를 수도 있으니까 추천해줘봐.,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
며칠 전에 음식 남은 거를 내가 모르고 쓰레기통에 넣어버렸나봐. 그래서 상했어.,disgust
오늘부터 3일동안 휴간데 휴가기간 내내 비가 온대.,angry
"아, 나 진짜 휴가 엉망이야.",angry
그 동안 일이 많고 바빠서 일년만에 받은 휴간데 어떻게 이럴 수가 있어.,angry
아무래도 여행을 가기는 틀린 거 같아. 집에서 즐겁게 보낼 수 있는 방법을 찾아봐야겠어.,angry
영화 보는데 하나도 재미없다.,angry
영화 보는데 재미 하나도 없어.,angry
사람들이 좋다고 평점도 그렇게 줬으면 아마 정말 맛집인 거 같기도 해.,neutral
내가 좋아하는 유튜버가 괜찮은 제품이라고 소개를 하더라고. 난 그걸 철썩같이 믿고 구매했지 뭐야. 근데 알고 봤더니 그게 광고였대. 돈 받고 하는 광고.,angry
맞아. 기분전환용 뭔가가 필요하긴 해. 좋은 생각이네. 한번 추천해줘 봐.,angry
요즘 장마에 홍수에 난리가 아니잖아. 우리 집 근처가 다 물바다야.,fear
맞아. 장마철은 정말 습기 때문에 곰팡이와의 전쟁인 거 같아.,angry
집 안에 갇혀서 밖에 나갈 수가 없는 거 같아.,fear
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 뒷광고 때문에 시청자들한테 사과하는 영상을 올렸어.,angry
너무 화가 나니까 영상 보는 거 자체가 싫어졌어.,angry
그래주면 정말 고마워. 덕분에 맛있게 먹고 올 수 있을 것 같아.,neutral
요즘 사람들 때문에 미치겠어! 믿을 수 있는 사람들이 별로 없어!,angry
나 혼자 고립된 것 같애.,fear
내가 너무 잠이 깊이 들었었나봐. 부재중 전화도 못받고 그냥 잠에 골아떨어졌었어.,fear
내 휴가가 엉망이 되었어!,angry
하필 내 휴가 기간이랑 장마철이랑 겹쳐서 온통 물난리야.,angry
지난 번에 음식물 쓰레기를 내가 그곳에 버려서 그래.,disgust
쓰레기 썩은 냄새랑 방향제 냄새랑 섞여서 이상해질까봐서 못 쓰겠어.,disgust
나는 자느라 몰랐는데 비가 많이 왔나봐. 지금 난리 났어!,fear
그런 것도 있어? 그러면 한 번 올려줘. 기분이 너무 더럽거든.,angry
"아니, 부재중 전화가 와서 알아봤더니 주변이 다 물바다인거야. 나만 홀로 갇혀있어.",fear
온 동네가 다 물바다가 되어있어.,fear
집 안 까지 들어오진 않았어. 그리고 나도 괜찮고. 나가는게 문제야.,fear
내 휴가 정말 끝났어 이제.,angry
나 휴가가 엉망이야!,angry
여름에 바다를 보러 가기로 했는데 장마가 진대.,angry
일이 너무 많아서 일년만에 휴가를 낸 건데 어쩜 이럴 수가 있어?,angry
휴가 기간 내내 비가 온다니까 어쩔 수 없이 집에서 할 수 있는 걸 찾아봐야 할 거 같아. 그런데 너무 속상해.,angry
사과를 하는데 너무 가볍게 사과를 하니까 진심이 안 느껴져. 거짓 사과 같아서 더 화가 나.,angry
나 갇히게 된 거 같아!,fear
홍수가 나서 나 혼자 집 안에 고립 된 거 같아.,fear
갑자기 홍수가 나서 집 주위가 물이 차올라서 바깥으로 나갈 수가 없어.,fear
아직까지 집 안으로 물이 안들어오고 몸은 괜찮지만 나 혼자 고립 되있다니까 너무 무서워.,fear
아직까지 집 안에 물이 안들어오고 내 몸은 괜찮지만 혼자 있으니까 너무 무섭고 두려워.,fear
내일 친구를 만나는데 뭘 먹어야할지 모르겠어.,neutral
내일 친구를 만나는데 뭘 먹어야할지 모르겠어.,neutral
강남역에서 친구를 만나기로 했어.,neutral
강남역에 맛집이 엄청 많아서 고르는게 머리가 아파. 나는 양식이 괜찮은 거 같아.,neutral
애피타이저를 푸짐하게 주는 집도 괜찮아. 내 친구가 엄청 좋아할 거 같아.,neutral
친구를 만나서 니가 추천한 곳에 가서 먹어볼게. 너무 기대 돼.,neutral
내가 좋아하는 유튜버가 사과 영상을 올렸어.,angry
영상을 보는게 너무 싫어졌어. 내가 좋아하는 유튜버가 걸리고 나니까 아무 영상도 보기 싫어.,angry
내가 좋아하는 유튜버가 걸려서 아무런 영상도 보고싶지 않아.,angry
그래. 그게 좋겠다. 맛있겠다.,neutral
"아니, 요즘 왜 그러는거지 다들? 이해가 안되네.",angry
유튜브에서 사기 광고를 하고 있어.,angry
너무 실망스러워. 그만큼 재밌게 보고 믿었는데. 이게 다 가짜라니.,angry
너무 화가 나니까 사과도 사과 같지가 않아. 진정성이 없어.,angry
그런 것도 있어? 한 번 추천해주면 고맙지.,angry
안녕하세요?,neutral
어. 강남역에서 만나기로 했어.,neutral
강남역에서 만나기로 했어.,neutral
응? 무슨 소리야? 무슨 대화를 완료했어?,neutral
나 갇힌 것 같아.,fear
집에 있는데 밖에 물이 가득 차 있어! 홍수가 왔나봐.,fear
자고 일어나보니 밖에가 난리가 아니야. 친구들 전화가 왔었는데 내가 못받았어.,fear
밖으로 못 나가. 완전 꽉 막혔어. 다 차가 물에 잠기고 밖이 다 물바다야.,fear
집 안은 괜찮은데 바깥이 난리야. 차도 잠겨있고 물만 보여.,fear
내 휴가가 엉망이야!,angry
가야하는데 장마가 와서 갈 수가 없어. 일 년 만에 휴간데 너무 속상해.,angry
친구들하고 바닷가 가서 신나게 놀고 올 생각이었는데 비가 너무 많이 와서 못가게 됐어.,angry
일년만에 휴가거든. 지금 일하고 있는 프로젝트가 끝나서 신나게 놀고 올 계획이었는데.,angry
없겠지. 나갈 수가 없으니 집에서 영화나 봐야될 것 같아.,angry
내가 잠을 자는 동안에 비가 엄청 많이 와서 우리 동네가 홍수 피해 지역이 됐대.,fear
아직까지 집 안에는 물이 들어오지 않아서 몸은 괜찮아. 하지만 혼자 있으려니까 너무 두려워.,fear
아직까지는 집 안까지 물이 들어오지 않아서 다행이야. 그리고 아픈데는 아무데도 없어. 하지만 혼자 있으려니까 너무 두려워.,fear
"아니, 요즘 다 왜 이러지? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과 영상을 올렸어.,angry
기분전환용 영상이 어떤건지 궁금하긴 하네.,angry
기분전환용 영상이 어떤거야? 나한테 말 좀 해줘봐.,angry
내일 친구랑 약속 있는데 뭘 먹어야 될지 고민이야.,neutral
만나는 건 강남역에서 만나기로 했어.,neutral
그래. 같은 값이면 애피타이저도 잘 나오는 곳이 낫겠지?,neutral
알았어. 그거 보고 친구랑 상의해서 맛있게 먹고 올게.,neutral
"아니, 요즘은 다들 왜 이러지? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 좋은 제품이라고 소개하더라고. 그래서 나도 같이 샀지. 그런데 알고 봤더니 그게 광고였대.,angry
맞아. 그 사람에 대한 신뢰도까지 무너져버렸어. 너무 속상해.,angry
사과도 우리가 증거를 들이 밀어서 받아낸 사과야. 그게 진정성 있겠어?,angry
그런 영상 있으면 화끈한 걸로 하나 부탁해.,angry
나 아무래도 갇힌 것 같애.,fear
자고 일어났더니 온 동네가 다 물바다가 되어있어. 나 혼자 집에 갇혀있어.,fear
난 자면 누가 업어가도 모르거든. 재난 문자가 와도 못 보고 그냥 잠만 잔 거야.,fear
맞아. 온 동네가 물 바다고 우리 집만 나가도 걸어다닐 수가 없어. 물이 꽉 차있어서.,fear
난 괜찮고 우리 집까지는 아직 안 들어왔어. 그러다가 또 비라도 오면 우리 집까지 들어올텐데 나 너무 무서워.,fear
친구가 양식을 좋아하니까 양식이 좋겠어.,neutral
평점이랑 리뷰가 좋다고 하니까 친구랑 같이 가서 한 번 먹어볼게. 너무 기대가 돼.,neutral
평점과 리뷰가 좋다고 하니까 니가 추천한데로 가볼게. 친구랑 맛있게 먹고 올게!,neutral
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
음식물 쓰레기를 내가 쓰레기통에 버려서 생긴 일이니까 힘들어도 얼른 해야지.,disgust
음식물 쓰레기를 내가 쓰레기통에 버려서 생긴 일이잖아. 힘들어도 얼른 치워야 해. 벌레가 많이 생길 것 같아.,disgust
쓰레기통에서 역겨운 냄새가 나!,disgust
쓰레기통에서 냄새가 나서 그 안을 뒤져봤는데 음식물 쓰레기가 상해서 냄새가 나는 거였어.,disgust
냄새가 너무 심하고 날파리가 생길 것 같아서 당장 묶어서 버려야할 것 같아.,disgust
냄새가 너무 심해서 방향제로 안될 수도 있어.,disgust
내가 음식물 쓰레기를 쓰레기통에 버려서 생긴 일이잖아. 힘들어도 청소를 해야지.,disgust
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
습기가 많고 환기가 잘 되지 않아도 매일매일 청소를 하는데 왜 곰팡이가 없어지지 않지?,angry
곰팡이 제거제를 사용하면 효과가 있을까?,angry
그래? 곰팡이 제거제가 효과가 있다고 하니까 나 한번 구매해서 사용해볼래.,angry
친구들이랑 모여서 바다에 가서 실컷 놀고 오기로 했어.,angry
아니. 요즘 다 왜 이러는 거야? 이해가 안 돼.,angry
내가 믿었던 유튜번데 뒷광고를 했다고 하니까 너무 실망스럽고 화가 나.,angry
내가 지금 너무 화가 나고 열이 나는 상탠데 내 기분을 낮춰줄 영상이 하나 있을까?,angry
지금은 너무 화가 나서 아무 영상도 보고싶지 않아.,angry
나 아무래도 갇힌 것 같아.,fear
갑자기 내린 비로 집 밖이 물바다래.,fear
아직까지는 집 안에까지 물이 들어오진 않았어. 그리고 몸이 아픈 데는 없어. 하지만 혼자 있으니까 너무 무서워.,fear
아직까지는 집 안으로 물이 들어오진 않았어. 몸도 아픈 데는 없어. 하지만 혼자 있으니까 너무 무서워.,fear
내일 친구랑 만나기로 했는데 뭘 먹어야 할지 모르겠어.,neutral
강남역이야. 그 곳은 정말 식당이 너무 많아.,neutral
난 둘 다 다 좋아. 좋은 곳으로 소개 좀 시켜줘.,neutral
완전 환상적이지. 에피타이저까지 나오면 금상첨화야.,neutral
정말 고마워. 친구랑 상의해서 정말 맛있게 먹고 올게.,neutral
내가 좋아하는 유튜버가 추천하길래 나도 제품 하나를 샀지. 그랬더니 그게 돈받고 하는 광고였대.,angry
실망스러운 건 이루 말로 할 수가 없어. 하물며 사과도 우리가 증거를 들이대니까 그때서야 하는거야. 마지못해서.,angry
그런게 있으면 화끈하게 때려부시는 영상으로 하나 부탁해.,angry
나의 이 복잡한 마음을 잔잔한 호수처럼 만들어줄 수 있는 영상으로 부탁해.,angry
자고 일어났더니 온 동네가 다 물바다야. 나 혼자서 집안에 갇혀있어.,fear
바보같이 자다가 재난문자도 못받고 피하라는 전화도 못받고. 그래서 혼자 이렇게 갇히게 된 거야.,fear
어. 사방이 다 물로 막혀있어.,fear
일단은 집 안까지는 물이 안 들어와서 나도 괜찮아.,fear
일식. 나는 이게 좋아 일식. 그런데 그 친구는 뭘 좋아할지 모르겠어.,neutral
그것도 좋은 것 같아. 푸짐하게 주면 더 많이 먹을 수 있고.,neutral
정말? 좋은 추천 부탁해.,neutral
내일 친구를 만나는데 뭘 먹어야할지 모르겠어.,neutral
강남역에서 친구를 만나기로 했는데 아직도 뭘 먹을지 못정했어.,neutral
강남역에 맛집이 너무 많아서 선택하기가 힘들더라구. 나는 일식을 좋아하니까 친구랑 일식을 먹고 싶어.,neutral
평점도 리뷰도 좋다고 하니까 정말 맛있는 집인 것 같아. 너의 말을 믿고 한번 친구랑 가볼게.,neutral
평점과 리뷰가 좋다고 하니까 정말 맛있는 집인 것 같아. 너의 말대로 한번 음식점에 가볼게.,neutral
프로젝트가 너무 많고 바빠서 일년만에 받은 휴가인데 어쩜 휴가를 갈 수가 없게 됐어.,angry
화장실은 자꾸 청소를 해도 곰팡이가 없어지지 않아.,angry
화장실이 습기가 많고 환기가 잘 되지 않아도 매일매일 화장실 청소를 하는데 곰팡이는 왜 안없어지지?,angry
너의 말대로 장마철이라서 습기가 더 생겨서 그런지 화장실에 곰팡이가 더 많이 보여. 볼 때마다 청소를 하는데 너무 힘들어.,angry
곰팡이 제거제가 화장실에 곰팡이를 제거하는데 효과가 있을까?,angry
곰팡이 제거제가 곰팡이를 제거하는데 큰 효과가 있다고 하니까 나도 한 번 구매해볼래. 좋은 제품 좀 알아봐줘.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
쓰레기통에서 이상한 냄새가 나서 쓰레기통 안을 뒤져봤더니 예전에 먹었던 음식물쓰레기가 상해서 역겨운 냄새가 나더라구.,disgust
너의 추천을 믿고 친구랑 가서 먹어볼게.,neutral
너가 추천한 곳이니까 믿고 가서 먹어볼게.,neutral
아니 요즘 다 왜 이러는 거야? 이해가 안돼.,angry
