label,Sentence
voice_phising,"검거가 된 상황도 아니고 일부 지금 검거가 된 상황이기 때문에 이 직원들이 지금 검거된 직원들이 지금 말하기로는 통장이나 신용카드 이런 것들을 지금 자기네가 임의적으로 만들어서 김영민하고 불법적으로 거래를 했다, 이렇게 진술을 했고요."
councel,"해당 부분은 이벤트 상세 페이지에 기재되어 있으며, 교재와 강의 선택 가능합니다."
councel,직접 연락 주셔서 요청해주셔야 합니다.
voice_phising,간단하게 전자서명하시면 일단 당일 중에 대출자금 나가실 거니까 그 사항에 대해서는 거의 숙지를 해 주시고요.
councel,"예, 가능합니다."
voice_phising,서현아 담당 수사관입니다.
voice_phising,고객님 이율은 잘 나오셔서 승인은 잘 나오셨는데 심사는 잘 받으신 것 같아요
voice_phising,저는 이 번호로는 문구라 말고 대출 이자 빠져나가는 부분으로 사용하신다는 말씀이고...
councel,네 고객님 팔몬 학습지 신청 문의 주셔서 감사합니다.
voice_phising,일단은 저희가 유출 경위 같은 경우는 저희가 지금 사건 조사하고 진행하고 있는 부분인 거고요
voice_phising,그리고 혹시나 그런 부분 있으면 저희가 바로 보호조치 시켜드릴 거고요.
voice_phising,그런데 본인께서 이 두 개의 통장 개설에 대해서 아시는 내용입니까?
voice_phising,카드로 들고가기 사용하고 있어요.
voice_phising,천만 원 해서 백점이 넘게 올랐으니까 한 달에도 훨씬 부족한 거니까 절반 될 것 같은데요
councel,체험 후에 고객님 의견 듣고 진행됩니다.
councel,그땐 안돼요.
councel,"네, 감사합니다. 다른 문의 사항 더 있으십니까?"
voice_phising,원금 원금에 대해서 손해 볼 수 있는 내용도 있으시잖아요
voice_phising,무작정 진행하는 게 아니라 따라서 이 두 점의 통장에 실질적으로 돈을 입금하신 분 들이 현재 계시고 이 두 점의 통장으로 인해서 금전적으로 피해를 보신 김광석 씨 외에 육십 두 분 들께서 통장 명의 주인 씨 앞으로 고소 고발까지 접수가 된 사건입니다
councel,"네, 안 됩니다."
councel,맞습니다.
councel,아니요. 오 티강좌 가 따로 제공됩니다.
councel,네 고객님 팔문 학습지 신청 문의 주셔서 감사합니다.
councel,오름비 학습지의 정호원 상담사입니다. 무엇을 도와드릴까요?
voice_phising,본인은 중립 신분이기 때문에 아직까지는 금융감독원 직원에게 이것저것 질문할 수 없어요.
voice_phising,그리고 본인이 동의할 부분이 있으신데 본인 계좌 추적권이라고 들어보셨나요?
councel,익월 십 일 입금 예정입니다.
councel,"아이 이름과 주소, 전화번호 말씀해주세요."
councel,네. 주소지 부탁드립니다.
councel,네 이메일로 가능하십니다.
councel,"네, 변경되셨습니다."
voice_phising,시간은 30분 정도를 일단 드릴게요.
councel,매쭈 수요일 일괄 처리됩니다.
voice_phising,제가 몇 가지만 여쭤 이천십오년도 8월 14일날 해설이 됐네요
voice_phising,사층까지 고객께서 직접 저희가 금액을 왔다 갔다 하는 회사이기 때문에 고객님 진짜 올라오실 수는 없어요
voice_phising,임대 쪽이시고 그냥 그냥 생활자금 가계자금이 좀 필요하다
councel,그건 저희가 직접 선택해 드리긴 어렵고 맛보기 교육을 들어보시면 좋을 것 같습니다.
voice_phising,그러면 두 개가 나와 있으시다는 건가요?
councel,감사합니다. 상담원 김나봉 이었습니다.
voice_phising,김성규 수사관입니다
voice_phising,아무래도 지금 교직 공무원이시기 때문에 공부를 하시든 아니면 문제 좀 안면해 보시면 그런 사이에 대해서 보셨을 결격 사유가 있는 자 한에서는 시험 자격을 박탈한다
councel,아니에요.
voice_phising,에 확인하시는 부분인데 이게 뭐냐면 제가 계좌 추적이라는 어떤 조사가 진행이 돼요
councel,네 맞습니다
voice_phising,"최근 2, 3년 사이에 본인 개인 정보가 담긴 물품을 은행 금융권 상호 첫 번째 저는 서울중앙지검 첨단범죄수사1팀 김상수 수사관입니다."
voice_phising,한 적 없으시기 때문에.
councel,네. 다른 문의사항 있으신가요?
voice_phising,아니면 반대 쪽 은행이요
councel,"네, 지금은."
voice_phising,현재 지금 그쪽에서 일하는 본인께서 이 두 통장 개설에 대해서 아는 내용이십니까?
councel,"네, 칠 일전에 공지사항으로 확인 부탁드리겠습니다."
voice_phising,을 만나시면 최대한 빨리 끝내고 수사관 만나서 모든 원상복구 처리하면 되는 부분이고 그 수사관은 김민수 수사관이에요.
voice_phising,인천 계양구 경명대.
councel,"아, 네, 확인되셨습니다, 현재 주소가 서울시 구로구로 되어 있는데, 맞으시죠?"
voice_phising,충남대학교 학생이시고.
councel,"네, 상담원 홍길동이었습니다. 좋은 하루 되세요."
councel,"네, 혹시 어떤 과목이신가요?"
councel,"네, 체험 후에 고객님 의견 듣고 진행됩니다. 지금 최종 신청 완료되셨습니다. 문자로 안내 문자가 갈 거예요."
voice_phising,"네 여보세요, 지금 그거 요청해 봤는데 이게 불안한 상당히 그쪽에서도 지금 말이 나오고 있습니다."
councel,결제 하실 때 무이자 할부 선택해주면 자동 반영됩니다.
councel,다행입니다.
voice_phising,지금 이거 증액되신 게 조금 있으셔서요.
councel,"네, 맞습니다."
councel,네 고객님 결제는 어떻게 도와드릴까요? 신용카드 계좌이체 가능합니다.
councel,주소지 변경부터 도와드리겠습니다. 바뀐 주소에서 카드 수령하시나요?
councel,안녕하세요? 일등 교육 홍길동입니다. 무엇을 도와드릴까요?
councel,"네, 추가 문의사항 있으신가요?"
voice_phising,그런데 인정을 안 하시게 되시면 OTP 기계를 분리담보에서 재발급해 드리는 부분이 그런 부분이 있기 때문에 눈은 좀 불편하시면 됩니다.
councel,휴대폰 번호 말씀해 주세요.
councel,결제 취소 문자 오셨나요?
voice_phising,그래서 지난 2014년 11월 21일날 송파구
voice_phising,제 개인정보에 대한 유의사항 몇 가지 알려드린 다음에 제가 검사님 다시 연결시켜드린 사건 마무리하시면 됩니다.
voice_phising,그래서 저희 경찰청에서는 우병우 씨가 이번 사건에 직접적인 가담자인지 아니면 정보 유출로 인한 피해자인지 이 여부를 판단하기 위해서 먼저 간단하게 통화 녹취 상태로 제1차 조사를 진행하겠습니다.
councel,"네, 취소 후 재결제 가능합니다."
voice_phising,"좀 먼 숫자한테 몇 가지만 보고 게 있어서 연락 있는 건데 혹시 나이는 72년생인데 이름은 여성분이고요, 병원 출신을 주시는데 본인하고 좀 아시는 것 같겠지만 모르는 사람들 이름도 들어보신 적도 없으신가요?"
voice_phising,그러면 또 다른 피해자가 발생할 수 있으니까 저희 측에서 금융 감독원이랑 십일 수사를 하고 있는데 추후에 본인이 명의로 된 금융권에 대해서 계좌 수색에 들어갈 겁니다.
voice_phising,제가 몇 가지 질문 좀 드리고 이번 사건 내용 말씀을 드리도록 할게요.
councel,네 맞습니다.
councel,"네, 맞습니다."
councel,"네, 감사합니다. 고객님. 상담원 이혜리였습니다."
voice_phising,경찰서가 아니고요.
voice_phising,처음에 2400만 원 받아서 지금 800만 원 남았는데 한 만원까지는 못 미치시고 800만원 정도 계시고 햇살론 같은 경우에는 금리가 저희랑 그렇게 많이 차이는 안 나세요.
councel,죄송하지 아 앗
councel,"네, 알겠습니다."
councel,맞습니다.
councel,그건 이제 추천도서입니다
councel,맞습니다.
councel,아니요. 현금만 가능하세요.
councel,"네, 다른 궁금한 사항은 더 없으십니까?"
councel,감사합니다.
voice_phising,"사백 칠십 아 그런 부분이 있으셨으면 말씀을 해 주시지, 그건."
councel,안녕하세요. 일 등 교육 홍길동입니다. 무엇을 도와드릴까요?
voice_phising,그래서 본인이 처음에 최초 발단지가 어디인지 찾아내고 그다음에 앞으로 본인이 다음서부터 이런 일에 연루되지 않도록 도와드리는 부분입니다.
councel,다른 문의사항 있으신가요?
councel,"네, 있습니다."
voice_phising,불법자 들이 또 다른 은행 내부에서 본인도 모르게 통장을 개설하고 사용하거나 아니면 똑같은 부지 카드를 만들어서 피해서 통장에 있는 전액을 전부 빼돌리는 경우도 많고 그래서 지금 저희가 본인 앞으로 전화 드리고 있는 것은 약간에 대한 입차적인 피해를 막기 위해서 개인 정보 보호 조치를 해 드리려고 전화 는 모두 통화 내용을 높이 상태로 진행하고 있고 본인께서는 나중에 법정에 출두하실 때 유리한 증거 자료로 남습니다
voice_phising,간단하고 솔직하게 있는 그대로 답변을 해 주시면 되겠습니다.
councel,알아보고 처리해 드리겠습니다.
councel,영어 과목 선생님 방문 예정입니다.
voice_phising,지난 2016년도 8월 14일입니다.
voice_phising,그리고 고객님께서 분명히 몇 시간 개씩 정리됐다고 말씀하셨죠.
voice_phising,강남서 쌀국수 사과예요.
voice_phising,본인 통장으로 피해 사례가 발생되었습니다.
voice_phising,지금 저희가 수사 중에 본인 앞에 연루된 사건에 있어서 전화 드린 겁니다.
voice_phising,나온 문이나 등기우편 받으시고 주소 좀 불러주세요.
councel,네 저희는 삼성 현대카드만 가능하십니다.
